Website,window.onload,document.createElement
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/SyncMethodTest.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/RCTActivityIndicatorViewNativeComponent.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-async-hooks-enable-disable.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-incoming-matchKnownFields.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/usvstring.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-object-option.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-dns-channel-cancel.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/RNTesterApp.ios.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngOptionsSpec.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-cluster-disconnect-exitedAfterDisconnect-race.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ReactFabric.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/t-wiki.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-dns-idna2008.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/sponsors.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngListSpec-obfuscated.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-dns-resolvens-typeerror.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/TouchableExample.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/software-resources-for-nonprofits.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/readable-boundaryread.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/YellowBox.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-eslint-inspector-check.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-buffer-compare.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-cluster-net-listen-ipv6only-none.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/text-to-data.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-connect-req-res.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngSrcSpec.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/YellowBoxInspector.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/XHRExampleFormData.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/util-extend-vs-object-assign.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-esm-cjs-main.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-domain-implicit-binding.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-read-file-assert-encoding.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/weex.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/UIManagerProperties.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/setUpXHR.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-immediate.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-error-reporting.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/Touchable-test.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-client-unescaped-path.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/siteConfig.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-eslint-number-isnan.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-net-connect-timeout.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-benchmark-dns.html",0,0
